Title,Opening Date,Closing Date,Days Played,Company,Series,Category,Year,Season,Notes,Lost,Country,Genre
Double Feature: Never Give a Sucker an Even Break and Cobra Woman,2013-03-29,2013-03-29,1,Belcourt Theatre,Universal 100th Anniversary,Film,2013,,,,,
The Boondock Saints,2013-03-29,2013-03-29,1,Belcourt Theatre,,Film,2013,,,,,
My Neighbor Totoro,2013-03-30,2013-03-30,1,Belcourt Theatre,,Film,2013,,,,,
The Devil's Rejects,2013-03-30,2013-03-30,1,Belcourt Theatre,,Film,2013,,,,,
Evil Dead II,2013-04-12,2013-04-13,2,Belcourt Theatre,,Film,2013,,,,,
To The Wonder,2013-04-12,2013-05-02,21,Belcourt Theatre,,Film,2013,,,,,
Pillow Talk,2013-04-13,2013-04-14,2,Belcourt Theatre,Universal 100th Anniversary,Film,2013,,,,,
Charade,2013-04-20,2013-04-21,2,Belcourt Theatre,Universal 100th Anniversary,Film,2013,,,,,
From Up On Poppy Hill,2013-04-26,2013-05-12,17,Belcourt Theatre,,Film,2013,,,,,
Room 237,2013-04-26,2013-05-12,17,Belcourt Theatre,,Film,2013,,,,,
The Shining,2013-04-26,2013-05-02,7,Belcourt Theatre,,Film,2013,,,,,
Do the Right Thing,2013-04-27,2013-04-28,2,Belcourt Theatre,Universal 100th Anniversary,Film,2013,,,,,
No,2013-04-05,2013-04-25,21,Belcourt Theatre,,Film,2013,,,,,
Magnificent Obsession,2013-04-06,2013-04-07,2,Belcourt Theatre,Universal 100th Anniversary,Film,2013,,,,,
Upstream Color,2013-05-03,2013-05-16,14,Belcourt Theatre,,Film,2013,,,,,
Renoir,2013-05-03,2013-05-23,21,Belcourt Theatre,,Film,2013,,,,,
The Sting,2013-05-04,2013-05-05,2,Belcourt Theatre,Universal 100th Anniversary,Film,2013,,,,,
Spice World,2013-05-10,2013-05-11,2,Belcourt Theatre,,Film,2013,,,,,
Ain't In It For My Health: A Film About Levon Helm,2013-05-10,2013-05-30,21,Belcourt Theatre,,Film,2013,,,,,
Scarface,2013-05-11,2013-05-12,2,Belcourt Theatre,Universal 100th Anniversary,Film,2013,,,,,
Gimme the Loot,2013-05-15,2013-05-16,2,Belcourt Theatre,,Film,2013,,,,,
Nam June Paik: I Make Technology Ridiculous,2013-05-16,2013-05-16,1,Belcourt Theatre,,Film,2013,,,,,
The Reluctant Fundamentalist,2013-05-17,2013-05-30,14,Belcourt Theatre,,Film,2013,,,,,
The Source Family,2013-05-17,2013-05-30,14,Belcourt Theatre,,Film,2013,,,,,
Jaws,2013-05-18,2013-05-19,2,Belcourt Theatre,Universal 100th Anniversary,Film,2013,,,,,
Simon Killer,2013-05-22,2013-05-25,4,Belcourt Theatre,,Film,2013,,,,,
Clueless,2013-05-24,2013-05-25,2,Belcourt Theatre,,Film,2013,,,,,
Something in the Air,2013-05-24,2013-05-30,7,Belcourt Theatre,,Film,2013,,,,,
High Plains Drifter,2013-05-25,2013-05-27,3,Belcourt Theatre,Universal 100th Anniversary,Film,2013,,,,,
The Sapphires,2013-05-31,2013-06-16,17,Belcourt Theatre,,Film,2013,,,,,
Frances Ha,2013-05-31,2013-06-27,28,Belcourt Theatre,,Film,2013,,,,,
Heavens Gate,2013-06-01,2013-06-03,3,Belcourt Theatre,,Film,2013,,,,,
Stories we Tell,2013-06-07,2013-06-27,21,Belcourt Theatre,,Film,2013,,,,,
