Year,Title,IMDb Title,IMDb Year,Rating,Genre,Director,Release Date,Country,IMDb URL,Poster URL
1925,Gambling Wives,Gambling Wives,1924,,Drama,Dell Henderson,10 Feb 1924 (USA),United States,https://www.imdb.com/title/tt0014936/,"https://m.media-amazon.com/images/M/MV5BNzkyODA2MTctYmM4Zi00ZDUzLTgyNGYtM2UwY2YxMDZmYjNmXkEyXkFqcGc@._V1_SY150_CR1,0,101,150_.jpg"
1925,Man and Wife,Man and Wife,1923,6.6,Drama,John L. McCutcheon,25 Mar 1923 (USA),United States,https://www.imdb.com/title/tt0014250/,"https://m.media-amazon.com/images/M/MV5BNTIwNTY4NTgtYTU3Mi00NTI4LWE4ZmEtMGViZjEzZGEwMDNhXkEyXkFqcGc@._V1_SY150_CR45,0,101,150_.jpg"
1925,The Kiss Barrier,The Kiss Barrier,1925,,"Drama, Romance, War",Roy William Neill,31 May 1925 (USA),United States,https://www.imdb.com/title/tt0015978/,
1925,I am the Man,I Am the Man,1924,,Drama,Ivan Abramson,15 Dec 1924 (USA),United States,https://www.imdb.com/title/tt0015007/,
1925,The Midnight Girl,The Midnight Girl,1925,5.7,Drama,Wilfred Noy,15 Feb 1925 (USA),United States,https://www.imdb.com/title/tt0016107/,"https://m.media-amazon.com/images/M/MV5BNDkxZDYzNzktMGY5ZC00NGI0LTgyYmMtYzdiNDMxNzFmMzViXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1925,Barbara Frietchie,Barbara Frietchie,1924,6.4,"Drama, War",Lambert Hillyer,26 Sep 1924 (USA),United States,https://www.imdb.com/title/tt0014696/,"https://m.media-amazon.com/images/M/MV5BNjVhYzNlMTAtZjk4Mi00NGM2LTg4NTgtYWExZGVjYjkzOGVlXkEyXkFqcGc@._V1_SY150_CR1,0,101,150_.jpg"
1925,The Thief of Bagdad,The Thief of Bagdad,1924,7.7,"Adventure, Family, Fantasy, Romance",Raoul Walsh,11 Apr 1924 (Brazil),United States,https://www.imdb.com/title/tt0015400/,"https://m.media-amazon.com/images/M/MV5BZDg5YzZlZDgtMjdkNy00ZWFkLWE2ZmQtY2U4MDU2MWE2NGM2XkEyXkFqcGc@._V1_SY150_CR2,0,101,150_.jpg"
1925,Headlines,Headlines,1925,4.1,"Adventure, Crime, Drama, Romance",Edward H. Griffith,16 Jul 1925 (USA),United States,https://www.imdb.com/title/tt0015901/,"https://m.media-amazon.com/images/M/MV5BZDgyZGM3N2EtNDE4NC00YjYyLWJlNWItNTQ1MmE2MjNkMGI3XkEyXkFqcGc@._V1_SY150_CR9,0,101,150_.jpg"
1925,Keep Smiling,Keep Smiling,1925,,Comedy,"Albert Austin, Gilbert Pratt",06 Sep 1925 (USA),United States,https://www.imdb.com/title/tt0015970/,"https://m.media-amazon.com/images/M/MV5BMjgwYzg0Y2MtZWNhMi00YTllLTg2MzctYzc3MDFmNzJkNWJhXkEyXkFqcGc@._V1_SY150_CR6,0,101,150_.jpg"
1925,The Coming of Amos,The Coming of Amos,1925,6.8,"Drama, Romance",Paul Sloane,06 Sep 1925 (USA),United States,https://www.imdb.com/title/tt0015700/,"https://m.media-amazon.com/images/M/MV5BMjgwZTgzZTgtYjkyYy00ZGYwLTkwNzAtZDhjY2Q3ZjIyNDdiXkEyXkFqcGc@._V1_SY150_CR4,0,101,150_.jpg"
